,trial_id,sponsor_status,protocol_country,sponsor_country
399,2012-002573-62,Non-Commercial,1.0,Sweden
400,2012-002669-37,Commercial,7.0,Switzerland
401,2012-002806-31,Commercial,9.0,United States
402,2012-003110-14,Commercial,8.0,United States
403,2012-003137-41,Commercial,1.0,Portugal
404,2012-003487-48,Commercial,5.0,France
405,2012-003516-31,Non-Commercial,1.0,Belgium
406,2012-004300-35,Commercial,1.0,Germany
407,2012-004368-23,Non-Commercial,1.0,Denmark
408,2012-004442-15,Non-Commercial,1.0,Germany
409,2012-004938-42,Non-Commercial,1.0,Netherlands
410,2012-004987-23,Commercial,5.0,United States
411,2012-004993-25,Commercial,1.0,Greece
412,2012-005048-46,Non-Commercial,1.0,Italy
413,2012-005232-29,Commercial,1.0,Hungary
414,2012-005332-29,Non-Commercial,1.0,Netherlands
415,2012-005627-32,Non-Commercial,1.0,United Kingdom
416,2012-005796-14,Non-Commercial,1.0,Austria
417,2012-005842-39,Non-Commercial,1.0,Sweden
418,2013-000024-34,Non-Commercial,1.0,Italy
419,2013-000056-18,Commercial,1.0,Belgium
420,2013-000176-15,Commercial,10.0,Switzerland
421,2013-000536-10,Commercial,12.0,United States
422,2013-000583-29,Non-Commercial,1.0,Belgium
423,2013-000621-30,Commercial,1.0,Netherlands
424,2013-000639-29,Non-Commercial,1.0,Austria
425,2013-000823-15,Non-Commercial,1.0,Germany
426,2013-000850-23,Non-Commercial,1.0,France
427,2013-001103-36,Non-Commercial,1.0,United Kingdom
428,2013-001141-14,Commercial,6.0,Switzerland
429,2013-001229-15,Non-Commercial,1.0,Spain
430,2013-001421-55,Commercial,1.0,France
431,2013-001557-27,Commercial,2.0,United States
432,2013-001766-42,Commercial,1.0,United Kingdom
433,2013-001868-40,Non-Commercial,1.0,United Kingdom
434,2013-002154-67,Non-Commercial,1.0,Spain
435,2013-002165-19,Non-Commercial,1.0,Netherlands
436,2013-002183-63,Non-Commercial,1.0,Spain
437,2013-002451-15,Non-Commercial,2.0,Belgium
438,2013-002850-54,Commercial,1.0,France
439,2013-002997-33,Commercial,7.0,United States
440,2013-003000-39,Commercial,6.0,France
441,2013-003183-31,Commercial,8.0,Italy
442,2013-003227-11,Commercial,1.0,Netherlands
443,2013-003323-11,Non-Commercial,1.0,Italy
444,2013-003328-35,Non-Commercial,1.0,France
445,2013-003363-64,Non-Commercial,1.0,United Kingdom
446,2013-003561-34,Commercial,3.0,United States
447,2013-003587-31,Commercial,4.0,United States
448,2013-003660-31,Non-Commercial,4.0,United States
449,2013-003873-85,Non-Commercial,1.0,Finland
450,2013-004042-42,Non-Commercial,1.0,United Kingdom
451,2013-004544-32,Commercial,1.0,"Korea, Republic of"
452,2013-004562-33,Non-Commercial,1.0,Italy
453,2013-004593-95,Non-Commercial,1.0,Spain
454,2013-004654-13,Commercial,8.0,United States
455,2013-005062-19,Non-Commercial,1.0,Austria
456,2013-005161-40,Commercial,6.0,United Kingdom
457,2013-005464-25,Commercial,10.0,United States
458,2013-005594-51,Non-Commercial,1.0,Belgium
459,2013-005628-41,Commercial,3.0,United States
460,2014-000042-30,Commercial,6.0,United States
461,2014-000177-39,Non-Commercial,1.0,Italy
462,2014-000340-15,Commercial,4.0,Netherlands
463,2014-001081-99,Commercial,1.0,Belgium
464,2014-001096-31,Commercial,3.0,Germany
465,2014-001158-41,Commercial,1.0,Italy
466,2014-001295-65,Commercial,4.0,France
467,2014-001644-38,Commercial,5.0,United States
468,2014-001706-17,Commercial,0.0,France
469,2014-001759-22,Commercial,3.0,France
470,2014-001786-26,Non-Commercial,1.0,Denmark
471,2014-002003-25,Non-Commercial,1.0,United Kingdom
472,2014-002841-23,Commercial,9.0,Belgium
473,2014-002986-30,Commercial,5.0,Switzerland
474,2014-003135-19,Commercial,5.0,United States
475,2014-003401-15,Commercial,0.0,Japan
476,2014-003558-15,Commercial,6.0,Germany
477,2014-003790-41,Commercial,1.0,Spain
478,2014-003846-29,Commercial,1.0,United States
479,2014-003896-41,Commercial,2.0,United States
480,2014-004162-17,Commercial,0.0,United States
481,2014-004194-16,Non-Commercial,1.0,Italy
482,2014-004335-39,Commercial,0.0,Japan
483,2014-004454-34,Commercial,0.0,Denmark
484,2014-004655-31,Commercial,1.0,Switzerland
485,2014-004751-31,Commercial,1.0,United States
486,2014-004972-49,Commercial,3.0,Switzerland
487,2014-005477-37,Commercial,9.0,Austria
488,2014-005556-25,Non-Commercial,1.0,Spain
489,2015-000159-26,Commercial,1.0,Sweden
490,2015-000458-40,Commercial,1.0,United Kingdom
491,2015-001956-31,Non-Commercial,1.0,Denmark
492,2015-002191-25,Commercial,4.0,Multi-country
493,2015-002396-18,Commercial,5.0,Germany
494,2015-002706-36,Non-Commercial,1.0,Netherlands
495,2015-002724-16,Commercial,1.0,United States
496,2015-002898-37,Commercial,5.0,Switzerland
497,2015-002963-40,Non-Commercial,1.0,Spain
498,2015-003260-37,Non-Commercial,1.0,United Kingdom
499,2015-003397-33,Non-Commercial,1.0,Italy
500,2015-003537-99,Commercial,0.0,Switzerland
501,2015-003625-34,Commercial,7.0,Multi-country
502,2015-003639-37,Commercial,1.0,Sweden
503,2015-003696-30,Commercial,1.0,United Kingdom
504,2015-004026-34,Commercial,4.0,"Korea, Republic of"
505,2015-004768-12,Commercial,1.0,Denmark
506,2015-005190-21,Commercial,0.0,France
507,2015-005226-19,Non-Commercial,1.0,Austria
508,2016-000049-30,Commercial,2.0,Netherlands
509,2016-000205-36,Non-Commercial,1.0,Germany
510,2016-000867-18,Non-Commercial,1.0,Belgium
511,2016-001638-84,Non-Commercial,1.0,Netherlands
512,2016-002210-46,Non-Commercial,1.0,Netherlands
513,2016-002513-22,Commercial,6.0,United Kingdom
514,2016-002531-15,Non-Commercial,1.0,United Kingdom
515,2016-004944-12,Commercial,0.0,United States
516,2017-001373-16,Commercial,1.0,Switzerland
517,2017-001607-80,Commercial,0.0,Belgium
518,2017-005115-13,Commercial,4.0,United States
