,euctr_id,euctr_results_inc,euctr_results_date,nct_id,ctgov_results_inc,ctgov_results_date,journal_results_inc,journal_pub_date,min_date,max_date,results_counts,earliest_results,Unnamed: 0,eudract_number,final_date,inferred,euctr_days,ctg_days,pub_days
65,2014-004454-34,1,2017-10-25,NCT02696148,0,,1,2019-01-17,2017-10-25,2019-01-17,2,EUCTR,17362,2014-004454-34,2017-04-13,0,195.0,1338.0,644.0
66,2006-000585-36,1,2016-06-24,NCT00758407,0,,0,,2016-06-24,2016-06-24,1,EUCTR,17413,2006-000585-36,2010-01-18,0,2349.0,3980.0,3980.0
67,2014-001644-38,1,2019-07-19,NCT02240121,1,2019-09-10,0,,2019-07-19,2019-09-10,2,EUCTR,7736,2014-001644-38,2017-08-16,0,702.0,755.0,1213.0
68,2009-010112-15,1,2015-07-31,,0,,0,,2015-07-31,2015-07-31,1,EUCTR,15412,2009-010112-15,2010-10-13,0,1752.0,3712.0,3712.0
69,2013-000583-29,0,,NCT01816321,0,,1,2017-09-23,2017-09-23,2017-09-23,1,Journal,19881,2013-000583-29,2015-04-07,1,2075.0,2075.0,900.0
70,2015-002191-25,1,2019-09-25,NCT02548962,1,2019-04-23,0,,2019-04-23,2019-09-25,2,CTgov,3745,2015-002191-25,2018-06-13,0,469.0,314.0,912.0
71,2011-001756-12,0,,,0,,1,2014-12-02,2014-12-02,2014-12-02,1,Journal,16481,2011-001756-12,2018-04-21,1,965.0,965.0,-1236.0
72,2013-001868-40,1,2018-04-11,NCT03529175,0,,1,2020-04-30,2018-04-11,2020-04-30,2,EUCTR,20380,2013-001868-40,2018-03-21,0,21.0,996.0,771.0
73,2010-019094-15,1,2019-05-25,NCT01261624,1,2014-04-16,0,,2014-04-16,2019-05-25,2,CTgov,8837,2010-019094-15,2012-06-01,0,2549.0,684.0,3115.0
74,2006-003191-35,1,2016-12-28,NCT00776321,0,,1,2014-04-22,2014-04-22,2016-12-28,2,Journal,3916,2006-003191-35,2007-04-20,0,3540.0,4984.0,2559.0
75,2011-003317-41,1,2016-12-04,,0,,0,,2016-12-04,2016-12-04,1,EUCTR,18868,2011-003317-41,2013-03-22,0,1353.0,2821.0,2821.0
76,2007-000974-22,0,,NCT01412515,0,,1,2015-05-12,2015-05-12,2015-05-12,1,Journal,25272,2007-000974-22,2011-07-19,1,3433.0,3433.0,1393.0
77,2007-004483-41,0,,NCT00780793,0,,1,2015-06-23,2015-06-23,2015-06-23,1,Journal,14064,2007-004483-41,2012-01-21,1,3247.0,3247.0,1249.0
78,2009-016760-36,1,2019-07-24,NCT01281098,0,,0,,2019-07-24,2019-07-24,1,EUCTR,18310,2009-016760-36,2012-10-31,0,2457.0,2963.0,2963.0
79,2012-002278-30,0,,NCT01835678,0,,1,2016-09-01,2016-09-01,2016-09-01,1,Journal,21723,2012-002278-30,2014-02-06,0,2500.0,2500.0,938.0
80,2010-018945-72,1,2016-03-02,NCT01185847,0,,0,,2016-03-02,2016-03-02,1,EUCTR,10343,2010-018945-72,2013-08-01,0,944.0,2689.0,2689.0
81,2012-004938-42,0,,NCT01823640,0,,1,2018-02-15,2018-02-15,2018-02-15,1,Journal,3445,2012-004938-42,2014-05-30,1,2387.0,2387.0,1357.0
82,2012-000109-66,1,2017-06-01,NCT01607957,1,2019-05-21,1,2015-05-14,2015-05-14,2019-05-21,3,Journal,1633,2012-000109-66,2016-05-23,0,374.0,1093.0,-375.0
